linha_producao,turno,produto_quimico,tipo_valvula,status_sensor,vazao_setpoint_l_min,vazao_real_l_min,erro_vazao_pct,pressao_linha_bar,desvio_pressao_pct,temperatura_produto_c,abertura_valvula_pct,vibracao_bomba_mm_s,ph_produto,consumo_energia_kwh,tempo_resposta_seg,horas_operacao_bomba,status_instrumentacao,acao_ideal_controle
Linha_C,Noite,Acido,Globo,OK,95.1,100.9,6.1,5.23,-9.83,28.55,37.1,3.71,7.55,109.73,2.34,2002,Normal,Reduzir_Abertura
Linha_C,Noite,Base,Esfera,OK,83.22,84.98,2.11,4.75,-18.1,45.34,66.89,4.18,6.72,84.93,0.83,1294,Normal,Manter_Ajuste
Linha_A,Noite,Base,Globo,OK,81.48,71.95,-11.7,5.95,2.59,42.0,63.96,6.39,6.39,163.56,3.86,990,Alerta,Aumentar_Abertura
Linha_C,Noite,Solvente,Globo,OK,107.84,107.1,-0.69,6.46,11.38,42.28,56.84,4.56,7.99,143.17,2.53,2323,Normal,Manter_Ajuste
Linha_A,Noite,Acido,Esfera,Ruido,96.68,101.13,4.6,4.37,-24.66,48.73,34.79,0.99,6.2,141.94,3.54,1912,Alerta,Reduzir_Abertura
Linha_A,Tarde,Solvente,Globo,OK,92.85,81.58,-12.14,5.82,0.34,28.33,68.8,3.83,8.06,146.29,5.16,2490,Alerta,Aumentar_Abertura
Linha_B,Noite,Acido,Esfera,OK,100.1,93.65,-6.44,5.6,-3.45,28.18,32.96,4.8,7.4,137.69,2.45,1773,Normal,Aumentar_Abertura
Linha_B,Manhã,Solvente,Globo,OK,109.54,114.8,4.8,6.11,5.34,43.92,75.86,4.88,7.07,119.62,2.38,957,Normal,Reduzir_Abertura
Linha_C,Tarde,Base,Globo,OK,102.16,103.78,1.59,5.79,-0.17,41.95,100.0,2.6,6.96,121.4,2.92,2380,Normal,Manter_Ajuste
Linha_C,Tarde,Base,Esfera,OK,92.13,94.6,2.68,4.49,-22.59,43.19,61.6,4.83,6.61,115.59,3.79,1578,Normal,Manter_Ajuste
Linha_A,Noite,Base,Borboleta,OK,114.72,125.88,9.73,4.66,-19.66,38.77,65.5,4.5,7.95,182.96,2.23,2005,Normal,Reduzir_Abertura
Linha_C,Noite,Acido,Esfera,OK,118.95,121.76,2.36,5.83,0.52,46.65,46.13,6.8,5.85,137.23,2.17,1412,Normal,Manter_Ajuste
Linha_A,Tarde,Solvente,Borboleta,OK,105.93,109.88,3.73,6.73,16.03,48.53,22.42,2.15,5.02,114.8,3.86,2787,Normal,Reduzir_Abertura
Linha_B,Tarde,Base,Esfera,Ruido,111.68,127.94,14.56,3.81,-34.31,45.39,44.15,2.49,7.48,135.24,3.18,1274,Falha,Reduzir_Abertura
Linha_A,Manhã,Solvente,Esfera,OK,114.9,113.62,-1.11,6.11,5.34,40.17,35.33,2.77,7.49,102.76,0.76,1598,Normal,Manter_Ajuste
Linha_C,Noite,Solvente,Esfera,OK,113.56,108.77,-4.22,6.87,18.45,27.25,28.95,2.51,7.33,158.1,1.57,1864,Normal,Aumentar_Abertura
Linha_A,Tarde,Acido,Borboleta,Instavel,107.37,109.94,2.39,5.66,-2.41,47.38,86.0,1.95,7.25,110.46,4.3,1145,Alerta,Manter_Ajuste
Linha_A,Tarde,Acido,Borboleta,Instavel,107.18,109.81,2.45,6.3,8.62,50.55,59.91,0.2,6.45,136.02,3.2,1998,Normal,Manter_Ajuste
Linha_B,Noite,Solvente,Borboleta,OK,106.24,103.08,-2.97,5.17,-10.86,46.51,61.83,2.59,7.67,148.45,2.04,2767,Normal,Manter_Ajuste
Linha_C,Tarde,Acido,Borboleta,OK,86.83,80.64,-7.13,5.69,-1.9,35.84,49.44,3.72,6.75,133.46,2.63,1506,Normal,Aumentar_Abertura
Linha_C,Manhã,Acido,Esfera,OK,108.41,122.27,12.78,4.34,-25.17,46.72,51.89,2.51,6.26,127.08,2.81,2037,Alerta,Reduzir_Abertura
Linha_C,Manhã,Base,Esfera,OK,83.73,85.69,2.34,3.69,-36.38,48.02,72.36,5.91,6.46,125.24,3.54,150,Alerta,Manter_Ajuste
Linha_C,Manhã,Base,Borboleta,OK,90.46,86.07,-4.85,6.65,14.66,52.91,54.42,3.22,9.02,123.76,1.44,1777,Normal,Aumentar_Abertura
Linha_C,Noite,Solvente,Globo,OK,115.64,121.14,4.76,4.91,-15.34,35.87,64.55,5.01,4.89,112.31,1.96,1612,Normal,Reduzir_Abertura
Linha_B,Manhã,Base,Esfera,OK,110.08,109.43,-0.59,5.39,-7.07,40.41,51.47,3.57,7.35,115.11,3.07,1309,Normal,Manter_Ajuste
Linha_A,Manhã,Base,Borboleta,OK,117.85,116.33,-1.29,4.55,-21.55,47.23,48.84,4.36,4.95,157.55,2.7,2449,Normal,Manter_Ajuste
Linha_C,Tarde,Acido,Esfera,Ruido,96.74,100.11,3.48,4.53,-21.9,42.4,29.68,3.59,6.68,122.61,3.37,1604,Alerta,Reduzir_Abertura
Linha_B,Noite,Solvente,Globo,OK,86.17,78.42,-8.99,5.64,-2.76,34.18,19.4,5.12,6.32,107.71,1.57,1694,Normal,Aumentar_Abertura
Linha_B,Tarde,Solvente,Esfera,OK,97.11,99.23,2.18,5.14,-11.38,44.9,50.29,3.28,4.51,113.64,3.16,1574,Normal,Manter_Ajuste
Linha_A,Noite,Acido,Globo,OK,101.22,112.7,11.34,6.14,5.86,46.05,56.02,3.89,7.23,149.21,3.89,650,Normal,Reduzir_Abertura
Linha_C,Noite,Base,Borboleta,OK,100.95,103.75,2.77,6.21,7.07,42.62,31.85,3.71,6.38,139.86,3.29,1121,Normal,Manter_Ajuste
Linha_A,Manhã,Solvente,Borboleta,OK,113.6,111.34,-1.99,6.09,5.0,43.54,54.38,2.8,4.49,137.33,2.94,2377,Normal,Manter_Ajuste
Linha_C,Noite,Solvente,Globo,Instavel,95.66,92.62,-3.18,6.01,3.62,40.19,55.97,3.77,7.72,119.33,2.7,534,Normal,Aumentar_Abertura
Linha_A,Tarde,Acido,Esfera,Instavel,104.22,101.76,-2.36,7.22,24.48,52.35,16.19,6.33,8.38,137.61,1.97,1340,Falha,Manter_Ajuste
Linha_A,Tarde,Acido,Borboleta,Ruido,88.14,86.62,-1.72,4.84,-16.55,35.7,38.53,2.82,8.44,110.84,2.73,1560,Normal,Manter_Ajuste
Linha_C,Manhã,Base,Borboleta,Ruido,105.4,103.13,-2.15,5.75,-0.86,37.89,62.33,3.79,7.19,119.29,4.06,2846,Alerta,Manter_Ajuste
Linha_A,Tarde,Acido,Globo,Ruido,100.04,105.54,5.5,6.82,17.59,42.08,61.97,4.96,6.85,146.34,2.68,2261,Normal,Reduzir_Abertura
Linha_A,Noite,Acido,Esfera,Ruido,91.0,80.6,-11.43,6.94,19.66,48.15,34.23,4.8,8.26,144.23,1.91,1466,Falha,Aumentar_Abertura
Linha_B,Tarde,Acido,Esfera,OK,97.17,102.34,5.32,4.52,-22.07,31.52,57.85,3.22,8.65,103.4,2.31,2583,Normal,Reduzir_Abertura
Linha_C,Manhã,Solvente,Esfera,OK,97.79,95.51,-2.33,5.52,-4.83,32.83,73.4,0.2,8.05,106.18,3.0,1356,Normal,Manter_Ajuste
Linha_A,Tarde,Solvente,Globo,OK,96.76,99.02,2.34,7.02,21.03,27.74,68.99,3.92,5.76,127.39,2.43,2405,Normal,Manter_Ajuste
Linha_A,Noite,Solvente,Globo,OK,121.26,114.5,-5.57,6.26,7.93,42.23,53.28,0.2,7.02,162.97,3.29,985,Normal,Aumentar_Abertura
Linha_C,Noite,Acido,Borboleta,OK,98.82,106.79,8.07,5.98,3.1,34.17,46.58,5.26,7.28,82.86,3.32,2444,Normal,Reduzir_Abertura
Linha_C,Manhã,Acido,Globo,Instavel,97.07,104.54,7.7,5.6,-3.45,39.31,43.67,3.44,4.81,131.12,3.69,1556,Normal,Reduzir_Abertura
Linha_B,Noite,Base,Globo,OK,74.83,80.59,7.7,5.45,-6.03,46.63,63.42,4.6,7.32,94.73,4.22,1183,Normal,Reduzir_Abertura
Linha_A,Noite,Solvente,Globo,OK,89.27,80.18,-10.18,6.06,4.48,37.51,58.51,1.94,9.3,111.04,3.8,1670,Normal,Aumentar_Abertura
Linha_A,Manhã,Solvente,Globo,OK,96.84,101.81,5.13,5.57,-3.97,43.62,66.33,1.03,7.5,116.98,1.87,1966,Normal,Reduzir_Abertura
Linha_A,Noite,Solvente,Globo,OK,91.77,94.2,2.65,5.76,-0.69,39.9,57.37,3.57,8.42,115.75,1.9,1503,Normal,Manter_Ajuste
Linha_A,Tarde,Base,Esfera,OK,116.58,106.95,-8.26,5.87,1.21,46.7,69.74,3.15,7.0,113.26,2.72,2132,Normal,Aumentar_Abertura
Linha_B,Tarde,Acido,Borboleta,Instavel,98.02,97.87,-0.15,5.19,-10.52,45.33,56.7,2.51,6.72,125.16,2.35,1450,Normal,Manter_Ajuste
Linha_A,Tarde,Solvente,Globo,OK,115.46,117.65,1.9,6.28,8.28,37.16,69.12,3.32,7.22,113.22,1.66,2172,Normal,Manter_Ajuste
Linha_B,Noite,Solvente,Globo,Instavel,100.74,104.08,3.32,8.42,45.17,40.82,70.67,7.07,5.9,92.83,2.36,2065,Falha,Reduzir_Abertura
Linha_B,Noite,Acido,Globo,OK,100.45,101.51,1.06,4.2,-27.59,49.31,40.52,4.37,5.74,142.16,2.33,1763,Normal,Manter_Ajuste
Linha_B,Noite,Base,Esfera,OK,98.93,100.68,1.77,6.09,5.0,44.75,22.45,4.67,8.19,141.56,2.13,1535,Normal,Manter_Ajuste
Linha_A,Noite,Solvente,Globo,OK,100.05,108.89,8.84,5.12,-11.72,32.22,82.78,4.38,8.31,143.55,2.48,1891,Normal,Reduzir_Abertura
Linha_C,Noite,Base,Borboleta,Instavel,120.63,127.99,6.1,6.32,8.97,46.59,59.62,5.27,5.71,91.1,3.98,2130,Normal,Reduzir_Abertura
Linha_C,Manhã,Base,Esfera,Instavel,72.16,54.96,-23.84,5.84,0.69,34.41,24.14,2.93,7.86,131.58,3.0,3037,Alerta,Aumentar_Abertura
Linha_C,Manhã,Solvente,Borboleta,OK,75.98,74.08,-2.5,6.49,11.9,51.89,42.15,0.32,6.7,139.87,5.27,2364,Normal,Manter_Ajuste
Linha_A,Noite,Base,Esfera,Ruido,93.48,92.49,-1.06,6.86,18.28,49.17,68.89,2.94,7.17,102.31,2.97,2386,Alerta,Manter_Ajuste
Linha_A,Tarde,Solvente,Esfera,OK,100.17,89.66,-10.49,5.97,2.93,44.03,49.97,4.34,7.31,125.2,2.51,3653,Normal,Aumentar_Abertura
Linha_C,Manhã,Base,Borboleta,Instavel,108.28,108.85,0.53,6.82,17.59,43.1,45.78,1.84,7.89,122.44,2.8,2110,Normal,Manter_Ajuste
Linha_B,Manhã,Acido,Esfera,OK,105.68,113.17,7.09,3.69,-36.38,40.54,80.22,2.95,6.89,165.53,3.06,2091,Normal,Reduzir_Abertura
Linha_A,Tarde,Solvente,Borboleta,OK,95.39,88.87,-6.84,7.23,24.66,46.75,36.15,2.23,8.35,167.34,3.24,2222,Normal,Aumentar_Abertura
Linha_B,Tarde,Solvente,Borboleta,Instavel,112.23,114.25,1.8,6.14,5.86,39.4,40.63,5.3,7.14,88.38,4.88,1195,Alerta,Manter_Ajuste
Linha_B,Manhã,Acido,Esfera,OK,112.36,106.87,-4.89,6.77,16.72,43.65,58.8,4.25,7.49,179.87,1.95,1534,Normal,Aumentar_Abertura
Linha_C,Manhã,Solvente,Borboleta,OK,102.21,98.18,-3.94,4.7,-18.97,48.1,62.03,4.11,5.88,104.87,3.66,1496,Normal,Aumentar_Abertura
Linha_A,Manhã,Base,Globo,OK,111.55,120.41,7.94,5.05,-12.93,38.07,63.93,4.07,9.17,146.57,3.01,2189,Normal,Reduzir_Abertura
Linha_C,Tarde,Solvente,Borboleta,OK,103.27,100.01,-3.16,5.93,2.24,37.69,71.4,3.15,7.32,146.35,1.23,1695,Normal,Aumentar_Abertura
Linha_A,Manhã,Acido,Borboleta,OK,93.26,96.03,2.97,5.78,-0.34,33.64,58.57,3.48,7.58,103.09,3.57,1883,Normal,Manter_Ajuste
Linha_B,Tarde,Acido,Borboleta,Instavel,108.37,97.14,-10.36,6.05,4.31,34.55,63.81,1.54,5.03,135.85,4.07,2452,Falha,Aumentar_Abertura
Linha_B,Tarde,Acido,Globo,Instavel,101.33,112.5,11.02,6.78,16.9,29.2,50.33,0.2,5.9,122.63,1.94,2318,Alerta,Reduzir_Abertura
Linha_A,Tarde,Acido,Borboleta,OK,100.02,103.64,3.62,4.21,-27.41,47.11,56.13,3.41,8.16,137.2,2.79,1703,Normal,Reduzir_Abertura
Linha_A,Noite,Base,Esfera,OK,117.68,116.59,-0.93,6.68,15.17,54.66,56.94,3.65,7.12,130.07,1.07,1398,Normal,Manter_Ajuste
Linha_B,Tarde,Solvente,Globo,OK,70.59,74.04,4.89,5.81,0.17,51.98,58.87,4.89,4.69,151.32,1.54,2481,Normal,Reduzir_Abertura
Linha_C,Noite,Acido,Globo,OK,82.99,74.53,-10.19,5.62,-3.1,30.62,68.91,5.4,7.94,126.66,3.85,2264,Normal,Aumentar_Abertura
Linha_B,Noite,Solvente,Esfera,OK,85.76,92.86,8.28,4.48,-22.76,47.07,64.99,5.4,6.2,121.31,2.33,836,Normal,Reduzir_Abertura
Linha_C,Noite,Acido,Globo,Ruido,95.64,93.7,-2.03,6.25,7.76,51.95,55.8,1.8,8.35,149.11,1.69,1612,Normal,Manter_Ajuste
Linha_C,Noite,Acido,Globo,Instavel,96.94,95.72,-1.26,3.63,-37.41,38.8,40.44,2.71,6.7,137.77,3.03,1899,Alerta,Manter_Ajuste
Linha_B,Tarde,Base,Esfera,Instavel,81.91,78.96,-3.6,6.38,10.0,42.71,56.22,3.87,7.03,141.1,2.28,2267,Normal,Aumentar_Abertura
Linha_C,Tarde,Solvente,Esfera,OK,88.18,84.7,-3.95,4.46,-23.1,27.94,54.5,6.74,8.1,110.38,2.33,2346,Alerta,Aumentar_Abertura
Linha_A,Manhã,Base,Globo,OK,89.67,93.84,4.65,5.85,0.86,43.87,58.48,5.27,5.81,102.0,3.54,1970,Normal,Reduzir_Abertura
Linha_A,Tarde,Solvente,Borboleta,OK,129.49,131.03,1.19,5.69,-1.9,34.56,94.72,4.77,5.71,112.51,1.64,2151,Normal,Manter_Ajuste
