linha_producao,turno,equipamento_monitorado,produto_quimico,status_sensor,temperatura_processo_c,pressao_linha_bar,vazao_setpoint_l_min,vazao_real_l_min,erro_vazao_pct,vibracao_mm_s,tempo_resposta_seg,consumo_energia_kwh,horas_operacao,umidade_ambiente_pct,ph_produto,condicao_operacional
Linha_D,Manhã,Trocador,Ácido,OK,49.25,6.46,115.65,125.05,8.13,0.43,1.43,162.5,2965,39.47,5.58,Normal
Linha_C,Manhã,Bomba,Base,OK,49.39,7.99,91.95,103.26,12.3,5.5,2.67,127.87,2448,35.47,4.81,Alerta
Linha_D,Tarde,Bomba,Aditivo,OK,31.46,6.07,96.62,98.69,2.14,3.35,1.47,147.44,2138,44.84,8.19,Normal
Linha_B,Noite,Bomba,Aditivo,OK,37.57,6.06,112.16,117.08,4.39,3.64,1.86,151.14,2126,54.85,6.77,Normal
Linha_A,Manhã,Trocador,Base,Instável,46.86,4.67,118.36,119.06,0.59,1.52,2.36,120.14,2830,62.72,7.35,Normal
Linha_A,Tarde,Válvula,Aditivo,OK,47.36,8.02,94.37,105.66,11.96,2.91,2.89,121.57,893,67.03,5.15,Alerta
Linha_A,Tarde,Válvula,Solvente,OK,44.73,3.47,89.84,82.31,-8.38,2.66,2.77,139.56,3172,61.48,7.3,Normal
Linha_A,Manhã,Sensor,Solvente,OK,24.02,6.03,102.65,111.63,8.75,3.76,4.55,145.75,2578,65.9,7.61,Normal
Linha_B,Noite,Trocador,Base,OK,35.66,6.3,107.25,98.1,-8.53,5.06,4.4,105.15,3298,65.17,9.51,Normal
Linha_C,Tarde,Bomba,Aditivo,OK,27.56,6.37,85.61,88.38,3.24,3.44,2.64,121.86,1863,37.39,5.79,Normal
Linha_A,Tarde,Sensor,Solvente,Instável,56.99,6.39,133.69,140.87,5.37,2.06,2.67,146.02,1829,46.98,4.52,Normal
Linha_B,Noite,Válvula,Solvente,OK,30.81,5.81,89.78,89.73,-0.06,3.86,1.99,164.91,1432,62.89,5.21,Normal
Linha_B,Tarde,Válvula,Aditivo,OK,44.33,7.69,111.03,108.93,-1.89,3.55,4.86,122.17,2668,51.27,5.94,Alerta
Linha_B,Manhã,Bomba,Base,OK,49.89,7.16,88.09,94.17,6.9,1.9,4.31,110.68,1554,55.71,9.79,Normal
Linha_A,Tarde,Válvula,Solvente,OK,36.14,6.99,111.01,110.94,-0.06,3.31,1.71,116.03,2618,60.43,5.93,Normal
Linha_B,Noite,Bomba,Ácido,OK,32.93,8.59,126.01,119.52,-5.15,0.52,2.79,118.12,2344,70.08,8.28,Normal
Linha_D,Noite,Trocador,Base,Instável,41.97,5.13,92.46,85.44,-7.59,3.35,4.51,125.31,1902,73.46,7.43,Alerta
Linha_D,Tarde,Trocador,Solvente,Instável,25.52,5.67,74.15,68.71,-7.34,0.2,2.44,96.38,2057,72.5,5.46,Normal
Linha_B,Tarde,Sensor,Ácido,OK,42.21,6.1,106.28,109.65,3.17,2.62,2.36,147.04,2690,59.09,7.4,Normal
Linha_B,Manhã,Bomba,Solvente,OK,37.78,4.41,99.22,90.87,-8.42,4.57,4.1,77.19,1988,95.0,6.31,Normal
Linha_B,Manhã,Trocador,Solvente,OK,46.18,7.23,75.38,79.77,5.82,2.42,2.2,88.41,2543,64.91,5.51,Normal
Linha_B,Manhã,Válvula,Ácido,Instável,26.84,5.44,122.31,115.72,-5.39,3.61,5.52,113.45,624,60.17,8.96,Alerta
Linha_C,Tarde,Válvula,Base,OK,48.21,6.01,91.85,93.86,2.19,3.68,3.33,142.23,1360,55.86,5.48,Normal
Linha_C,Noite,Sensor,Ácido,OK,50.94,6.34,81.37,76.68,-5.76,2.94,2.38,109.36,1700,70.43,6.75,Normal
Linha_B,Tarde,Válvula,Aditivo,Instável,36.07,5.88,123.83,118.6,-4.22,1.35,0.4,136.75,2804,71.64,8.0,Normal
Linha_A,Manhã,Trocador,Aditivo,OK,46.04,4.82,101.66,101.96,0.3,1.34,3.88,129.54,1708,62.39,6.18,Normal
Linha_C,Noite,Bomba,Solvente,Ruído,42.61,6.25,105.46,101.24,-4.0,2.0,1.29,87.1,2524,57.12,7.74,Normal
Linha_B,Noite,Bomba,Ácido,OK,55.75,4.65,105.23,108.5,3.11,3.97,3.34,157.7,1731,54.84,6.88,Normal
Linha_D,Manhã,Sensor,Solvente,OK,49.12,5.93,128.0,123.24,-3.72,4.9,3.33,124.26,1361,72.31,5.66,Normal
Linha_B,Tarde,Válvula,Aditivo,OK,42.43,5.44,100.85,86.58,-14.15,1.72,3.57,129.71,1904,86.27,9.22,Normal
Linha_A,Manhã,Bomba,Solvente,OK,29.27,6.54,82.86,67.9,-18.05,2.25,1.07,93.9,1934,53.54,7.95,Normal
Linha_C,Manhã,Válvula,Aditivo,OK,32.26,6.48,60.41,49.44,-18.16,2.71,2.09,125.27,2587,45.98,8.84,Normal
Linha_D,Tarde,Trocador,Solvente,OK,39.28,5.58,90.74,96.82,6.7,5.58,3.54,149.12,2653,50.89,7.95,Normal
Linha_B,Tarde,Bomba,Aditivo,OK,36.31,6.59,120.44,121.09,0.54,2.32,3.63,122.2,2739,71.21,6.95,Normal
Linha_D,Noite,Bomba,Base,OK,37.71,6.66,88.9,80.69,-9.24,4.95,4.72,107.02,3082,51.88,6.47,Normal
Linha_A,Manhã,Sensor,Aditivo,OK,52.13,6.62,89.78,86.43,-3.73,2.7,2.04,126.69,2199,63.59,4.78,Normal
Linha_A,Tarde,Bomba,Base,Ruído,44.53,4.31,118.79,126.06,6.12,2.8,1.27,127.32,1122,76.54,6.22,Normal
Linha_B,Manhã,Válvula,Aditivo,OK,51.17,3.07,106.0,96.26,-9.19,2.48,0.99,149.46,1311,49.76,7.57,Normal
Linha_B,Tarde,Válvula,Solvente,OK,43.18,5.82,90.72,94.24,3.88,3.03,3.05,154.99,1884,59.84,6.0,Normal
Linha_D,Tarde,Sensor,Base,OK,42.02,3.41,102.97,108.51,5.38,1.58,4.21,156.3,2985,60.39,6.1,Normal
Linha_D,Noite,Bomba,Ácido,OK,37.55,6.23,98.74,87.7,-11.18,3.13,2.3,129.15,1442,67.36,7.47,Normal
Linha_B,Tarde,Bomba,Aditivo,OK,33.49,4.22,104.99,102.92,-1.97,1.8,2.19,170.44,1305,69.52,7.46,Normal
Linha_C,Manhã,Bomba,Ácido,OK,44.22,6.36,99.53,87.11,-12.48,3.22,3.9,80.31,2383,40.59,4.79,Normal
Linha_C,Manhã,Sensor,Aditivo,OK,54.29,4.6,101.91,107.93,5.91,0.28,2.96,143.57,1715,70.87,5.49,Normal
Linha_D,Manhã,Trocador,Aditivo,OK,42.5,3.64,81.33,77.19,-5.09,2.26,2.59,120.25,2837,54.73,5.44,Normal
Linha_A,Noite,Bomba,Solvente,OK,49.01,3.68,109.44,99.42,-9.16,2.83,2.31,85.7,1776,45.21,5.11,Normal
Linha_C,Noite,Válvula,Solvente,Instável,35.12,6.1,105.65,106.0,0.33,2.53,3.02,105.09,1966,61.58,7.8,Normal
Linha_D,Manhã,Sensor,Solvente,OK,40.41,3.62,106.86,105.71,-1.08,0.33,2.54,133.72,2058,62.0,7.46,Normal
Linha_C,Noite,Sensor,Aditivo,Instável,42.85,6.55,107.2,109.5,2.15,3.56,3.53,134.18,1979,73.1,8.24,Normal
Linha_C,Tarde,Trocador,Ácido,OK,44.84,6.12,97.77,86.98,-11.04,0.85,1.96,118.5,1597,51.73,5.64,Normal
Linha_D,Noite,Bomba,Base,OK,42.69,7.46,94.09,107.89,14.67,6.57,3.2,134.21,1431,75.29,5.76,Alerta
Linha_A,Manhã,Trocador,Base,OK,42.85,7.39,53.91,56.48,4.77,5.44,1.95,114.97,2468,66.99,4.87,Normal
Linha_A,Noite,Válvula,Solvente,OK,41.23,7.51,100.1,93.28,-6.81,6.25,1.38,144.41,1898,54.98,9.52,Alerta
Linha_A,Tarde,Sensor,Solvente,OK,47.05,4.59,56.56,67.41,19.18,3.29,3.82,135.7,2038,63.89,6.66,Normal
Linha_C,Noite,Bomba,Solvente,OK,46.27,5.39,103.27,103.88,0.59,0.21,2.75,101.74,1131,68.56,5.15,Normal
Linha_B,Tarde,Válvula,Base,OK,39.87,6.76,108.15,101.97,-5.71,6.23,2.1,132.49,2066,71.05,4.61,Normal
Linha_A,Noite,Válvula,Aditivo,OK,36.38,5.33,107.57,104.8,-2.58,3.67,1.54,148.1,2393,61.66,5.76,Normal
Linha_B,Manhã,Trocador,Base,OK,36.91,6.03,95.42,98.68,3.42,6.25,2.4,111.16,2573,62.4,5.82,Normal
Linha_B,Noite,Trocador,Aditivo,Ruído,56.62,4.4,110.08,113.81,3.39,5.34,4.33,94.24,3431,74.57,7.18,Alerta
Linha_B,Tarde,Trocador,Ácido,Ruído,45.65,6.45,117.17,121.16,3.41,3.93,3.18,116.93,1818,66.4,8.42,Normal
Linha_C,Tarde,Trocador,Base,Instável,50.38,5.92,94.61,96.89,2.41,1.72,4.16,143.56,2069,50.17,6.82,Normal
Linha_B,Noite,Trocador,Solvente,Instável,49.6,4.68,96.56,102.51,6.16,1.94,3.66,117.28,1307,49.0,7.08,Normal
Linha_D,Noite,Bomba,Aditivo,OK,43.76,7.33,115.93,115.12,-0.7,3.0,4.37,144.46,1027,66.29,6.28,Normal
Linha_B,Manhã,Sensor,Ácido,OK,45.76,4.61,100.85,98.64,-2.19,3.47,3.12,90.41,2731,66.04,8.35,Normal
Linha_B,Noite,Válvula,Base,OK,46.35,6.53,131.34,130.61,-0.56,3.15,3.87,105.02,1132,56.87,7.01,Normal
Linha_D,Tarde,Válvula,Aditivo,OK,30.96,7.15,94.61,102.9,8.76,3.83,0.86,138.61,2276,66.91,6.35,Normal
Linha_A,Manhã,Sensor,Solvente,OK,46.45,5.85,103.08,104.88,1.75,5.7,3.29,134.83,2647,68.02,10.13,Normal
Linha_D,Manhã,Trocador,Solvente,Ruído,37.6,5.81,85.94,73.3,-14.71,6.33,0.5,121.66,3339,48.7,5.7,Alerta
Linha_C,Noite,Válvula,Aditivo,OK,37.13,7.05,102.17,93.7,-8.29,0.74,4.0,112.55,2716,82.53,7.53,Normal
Linha_D,Noite,Bomba,Aditivo,OK,45.31,7.41,91.49,83.91,-8.29,4.16,6.14,149.48,2855,55.42,5.68,Normal
Linha_A,Tarde,Bomba,Base,OK,65.29,5.8,75.37,75.9,0.7,4.96,2.61,122.12,2617,65.72,6.71,Normal
Linha_A,Manhã,Sensor,Solvente,OK,29.5,5.17,71.2,83.11,16.73,3.63,4.67,166.12,2886,43.3,5.59,Alerta
Linha_B,Manhã,Bomba,Solvente,OK,26.71,4.61,103.38,91.36,-11.63,4.23,3.96,127.73,1640,43.95,8.2,Normal
Linha_A,Manhã,Trocador,Aditivo,OK,43.83,5.13,86.37,73.76,-14.6,2.32,2.64,128.56,3662,50.47,6.4,Normal
Linha_A,Manhã,Trocador,Aditivo,OK,27.02,7.62,96.47,84.41,-12.5,3.55,2.34,115.96,1714,43.02,6.98,Alerta
Linha_B,Noite,Bomba,Ácido,OK,41.85,3.88,97.03,96.06,-1.0,3.17,3.56,154.95,1681,50.49,8.38,Normal
Linha_C,Noite,Válvula,Solvente,Ruído,26.31,5.1,91.9,87.06,-5.27,2.28,3.1,95.64,3070,60.97,8.46,Normal
Linha_D,Manhã,Válvula,Base,OK,46.6,4.32,121.68,127.38,4.68,2.6,3.1,146.55,3771,55.95,7.28,Normal
Linha_A,Tarde,Válvula,Solvente,OK,42.53,4.8,94.79,80.82,-14.74,4.09,2.75,119.34,2738,66.72,5.42,Normal
Linha_D,Manhã,Sensor,Ácido,Instável,35.58,5.98,89.81,92.31,2.78,2.86,2.49,99.51,2728,67.65,4.29,Normal
Linha_A,Noite,Sensor,Aditivo,OK,52.72,5.78,84.13,79.27,-5.78,3.3,1.81,133.04,1702,55.79,6.41,Normal
Linha_A,Manhã,Bomba,Aditivo,OK,44.52,5.4,109.76,117.63,7.17,3.06,1.06,107.02,1924,49.0,5.7,Normal
Linha_C,Tarde,Válvula,Aditivo,OK,48.03,5.95,92.15,92.33,0.2,2.66,2.78,159.96,1421,69.4,7.45,Normal
Linha_A,Tarde,Bomba,Aditivo,OK,33.61,6.1,115.23,109.68,-4.82,1.63,3.29,114.28,1579,48.56,4.78,Normal
Linha_D,Noite,Sensor,Aditivo,OK,45.98,4.12,105.41,95.24,-9.65,1.37,1.19,101.09,3353,63.5,7.58,Normal
Linha_B,Tarde,Válvula,Ácido,OK,33.87,6.01,91.29,99.81,9.33,3.67,2.01,98.22,1150,62.68,4.15,Normal
Linha_A,Noite,Válvula,Solvente,OK,62.0,4.99,104.16,100.26,-3.74,2.75,0.98,165.57,2750,70.17,6.65,Normal
Linha_C,Manhã,Trocador,Solvente,OK,50.4,5.14,105.67,96.01,-9.14,1.42,3.84,133.23,2953,43.83,8.39,Normal
Linha_B,Manhã,Trocador,Base,OK,44.47,5.21,86.4,79.46,-8.03,2.49,4.18,116.73,1995,72.98,6.64,Normal
Linha_D,Noite,Trocador,Solvente,Ruído,51.74,4.45,101.45,101.97,0.51,4.05,2.25,144.69,2268,71.71,6.64,Normal
Linha_B,Noite,Válvula,Ácido,OK,44.27,3.82,103.04,104.37,1.29,4.22,2.77,126.68,100,64.16,8.69,Normal
Linha_A,Noite,Válvula,Base,OK,41.57,5.71,99.26,94.34,-4.96,0.75,3.28,127.0,2253,61.23,4.14,Normal
Linha_A,Tarde,Bomba,Ácido,OK,44.23,6.36,106.7,104.83,-1.75,4.28,2.6,151.79,1476,70.66,6.83,Normal
Linha_A,Manhã,Sensor,Base,Instável,28.64,5.31,96.17,92.73,-3.58,0.4,3.55,145.92,531,33.27,8.82,Normal
Linha_A,Manhã,Sensor,Aditivo,OK,39.46,4.34,120.32,128.6,6.88,2.42,5.05,89.35,2427,74.97,5.57,Normal
Linha_B,Tarde,Válvula,Aditivo,Ruído,44.8,6.25,133.83,128.35,-4.09,4.78,4.1,129.39,1488,56.98,7.08,Normal
Linha_A,Tarde,Válvula,Aditivo,Instável,37.13,7.22,92.54,85.71,-7.38,1.69,3.87,149.23,2004,65.75,7.41,Normal
Linha_D,Manhã,Bomba,Aditivo,Instável,59.74,5.75,71.46,62.91,-11.96,4.86,5.11,135.88,2059,41.84,7.2,Falha
Linha_C,Manhã,Bomba,Solvente,OK,40.11,7.78,103.59,101.17,-2.34,3.6,1.38,131.86,2570,55.32,7.23,Normal
Linha_B,Tarde,Bomba,Aditivo,OK,45.02,5.51,104.62,110.34,5.47,6.42,3.32,77.88,1940,64.01,8.74,Normal
Linha_D,Tarde,Trocador,Aditivo,OK,58.9,6.16,100.44,100.15,-0.29,5.95,0.92,154.13,1869,39.91,4.74,Alerta
Linha_C,Noite,Sensor,Solvente,OK,49.36,5.73,80.69,79.99,-0.87,4.01,4.99,111.55,1773,76.99,7.82,Normal
Linha_C,Noite,Bomba,Aditivo,OK,60.19,6.74,103.49,111.07,7.32,3.02,3.78,128.59,1948,71.48,8.54,Normal
Linha_C,Tarde,Sensor,Base,OK,44.29,6.39,110.26,115.78,5.01,5.47,2.81,148.66,2747,77.18,8.37,Normal
Linha_B,Tarde,Válvula,Base,OK,30.9,6.9,86.75,88.02,1.46,3.99,2.35,154.03,2704,68.83,6.63,Normal
Linha_B,Manhã,Sensor,Aditivo,OK,23.14,6.06,124.02,138.36,11.56,4.63,2.22,109.44,1764,65.82,6.77,Normal
Linha_D,Tarde,Sensor,Aditivo,Instável,33.01,6.9,86.68,75.06,-13.41,4.23,2.57,138.64,2070,56.37,5.9,Alerta
Linha_B,Noite,Sensor,Solvente,OK,44.72,6.91,109.3,118.45,8.37,3.86,1.01,117.88,1931,63.55,7.37,Normal
Linha_B,Noite,Válvula,Ácido,OK,50.49,5.67,96.42,101.53,5.3,1.66,2.3,126.39,1290,61.72,6.73,Normal
Linha_B,Manhã,Bomba,Ácido,OK,50.99,5.41,78.04,68.34,-12.43,4.88,2.27,130.31,3599,79.62,6.29,Normal
Linha_C,Noite,Válvula,Aditivo,OK,32.33,3.78,98.45,107.21,8.9,2.43,1.87,154.73,1572,48.8,5.68,Normal
Linha_B,Tarde,Válvula,Aditivo,OK,37.55,7.14,96.84,105.57,9.01,5.71,2.25,117.5,2531,60.97,6.47,Normal
Linha_B,Manhã,Bomba,Base,Ruído,46.59,6.2,135.71,134.34,-1.01,2.55,2.58,167.28,2158,60.68,9.63,Normal
Linha_B,Manhã,Sensor,Ácido,OK,25.21,4.9,113.79,107.6,-5.44,3.61,3.18,137.02,2812,62.16,5.59,Normal
Linha_B,Tarde,Bomba,Base,Instável,35.71,6.51,125.33,120.98,-3.47,5.86,3.88,72.33,441,53.17,4.94,Alerta
Linha_B,Manhã,Trocador,Ácido,Instável,44.74,7.81,119.67,129.57,8.27,4.07,2.42,127.34,2616,67.51,6.66,Alerta
Linha_C,Manhã,Bomba,Ácido,OK,44.3,6.55,99.3,102.82,3.54,2.08,0.53,87.24,2495,66.9,5.19,Normal
Linha_A,Tarde,Válvula,Base,OK,50.39,6.69,90.01,81.98,-8.92,4.98,2.64,136.72,256,48.04,3.72,Normal
Linha_C,Tarde,Válvula,Solvente,OK,43.71,7.11,124.02,134.84,8.72,3.3,1.95,128.58,2297,41.13,6.03,Normal
Linha_A,Noite,Trocador,Aditivo,OK,40.32,6.39,83.19,90.21,8.44,4.58,2.89,128.85,2552,68.54,5.48,Normal
Linha_D,Noite,Válvula,Aditivo,Ruído,35.65,7.13,99.26,90.27,-9.06,2.72,1.13,182.01,1263,48.64,6.51,Normal
Linha_B,Tarde,Válvula,Base,OK,45.33,5.27,90.41,92.46,2.27,3.87,1.9,119.08,1738,64.69,6.42,Normal
Linha_B,Tarde,Bomba,Solvente,OK,40.58,5.7,108.58,108.6,0.02,5.9,1.86,138.74,1942,57.85,7.47,Normal
Linha_D,Noite,Bomba,Solvente,OK,49.03,4.23,126.62,127.36,0.58,3.4,3.26,203.91,1532,63.53,4.81,Normal
Linha_A,Noite,Trocador,Ácido,OK,31.98,5.55,95.75,100.85,5.33,7.01,1.91,155.32,1855,48.77,6.15,Normal
Linha_D,Manhã,Trocador,Base,OK,57.22,5.7,84.18,87.48,3.92,5.51,1.9,135.69,3367,50.45,5.99,Normal
Linha_D,Tarde,Trocador,Ácido,OK,37.2,5.41,113.35,120.18,6.03,4.39,2.48,140.82,2526,69.72,6.09,Normal
Linha_C,Tarde,Bomba,Ácido,Instável,39.65,5.59,76.58,75.38,-1.57,3.57,3.2,124.33,2283,31.8,8.54,Normal
Linha_C,Noite,Bomba,Solvente,OK,48.64,4.02,103.56,101.13,-2.35,2.51,1.94,149.02,2717,72.58,8.69,Normal
